#        a       HoverH0(a)       dlogHdloga_of_a(a)
   6.5223966E-04   3.9788879E+04   -1.6719246E+00
   6.5525177E-04   3.9483596E+04   -1.6714050E+00
   6.5827779E-04   3.9180749E+04   -1.6708861E+00
   6.6131779E-04   3.8880318E+04   -1.6703679E+00
   6.6437182E-04   3.8582283E+04   -1.6698505E+00
   6.6743996E-04   3.8286623E+04   -1.6693339E+00
   6.7052227E-04   3.7993320E+04   -1.6688181E+00
   6.7361881E-04   3.7702353E+04   -1.6683030E+00
   6.7672965E-04   3.7413703E+04   -1.6677887E+00
   6.7985486E-04   3.7127351E+04   -1.6672751E+00
   6.8299450E-04   3.6843277E+04   -1.6667624E+00
   6.8614864E-04   3.6561464E+04   -1.6662504E+00
   6.8931735E-04   3.6281891E+04   -1.6657392E+00
   6.9250069E-04   3.6004542E+04   -1.6652288E+00
   6.9569873E-04   3.5729396E+04   -1.6647192E+00
   6.9891154E-04   3.5456436E+04   -1.6642104E+00
   7.0213919E-04   3.5185644E+04   -1.6637024E+00
   7.0538174E-04   3.4917001E+04   -1.6631952E+00
   7.0863927E-04   3.4650491E+04   -1.6626889E+00
   7.1191184E-04   3.4386095E+04   -1.6621833E+00
   7.1519952E-04   3.4123796E+04   -1.6616785E+00
   7.1850239E-04   3.3863576E+04   -1.6611746E+00
   7.2182050E-04   3.3605418E+04   -1.6606715E+00
   7.2515395E-04   3.3349306E+04   -1.6601692E+00
   7.2850278E-04   3.3095223E+04   -1.6596677E+00
   7.3186709E-04   3.2843151E+04   -1.6591671E+00
   7.3524692E-04   3.2593074E+04   -1.6586673E+00
   7.3864237E-04   3.2344975E+04   -1.6581684E+00
   7.4205350E-04   3.2098839E+04   -1.6576703E+00
   7.4548038E-04   3.1854649E+04   -1.6571730E+00
   7.4892309E-04   3.1612389E+04   -1.6566766E+00
   7.5238169E-04   3.1372043E+04   -1.6561810E+00
   7.5585627E-04   3.1133596E+04   -1.6556863E+00
   7.5934689E-04   3.0897031E+04   -1.6551925E+00
   7.6285364E-04   3.0662333E+04   -1.6546995E+00
   7.6637657E-04   3.0429487E+04   -1.6542074E+00
   7.6991578E-04   3.0198478E+04   -1.6537161E+00
   7.7347133E-04   2.9969290E+04   -1.6532257E+00
   7.7704330E-04   2.9741909E+04   -1.6527362E+00
   7.8063177E-04   2.9516320E+04   -1.6522475E+00
   7.8423681E-04   2.9292508E+04   -1.6517598E+00
   7.8785850E-04   2.9070457E+04   -1.6512729E+00
   7.9149691E-04   2.8850155E+04   -1.6507869E+00
